sentence,Positive,,,
"zakir naik nie org paling bodoh sedunia.... agama bukan utk diperdebatkan tp utk dijalan kan n di amal kan... klo diperdebatkan, masing masing pemeluk agama pasti mganggap agama mereka lah yg paling bener n ujung ujung nya terjadi permusuhan... GEBLEKKKK... ISLAM TAK SEINDAH KATA ORANG, ISLAM SEKARANG MENJADI SARANG TEMPAT ORANG ORANG MENABUR KEBENCIAN N MEMBODOHI ORANG,,, CERDAS LAH UMAT ISLAM, JANGAN MAU DIBODOHI MA ULAMA ULAMA YG SOK HEBAT N SUCI..Read more",0,,,
"zakir naik nie org paling bodoh sedunia.... agama bukan utk diperdebatkan tp utk dijalan kan n di amal kan... klo diperdebatkan, masing masing pemeluk agama pasti mganggap agama mereka lah yg paling bener n ujung ujung nya terjadi permusuhan...",0,,,
Yunnnn sok pinter... Pansoss...biar exsis...sebentar lg y down mnh..,0,,,
Yunisara iyalah mbela adike....adike selingkuh juga dibela....yuni udah tua malah nggak bisa bedain mana yg dzolim dan benar,0,,,
"Yuni2 ,qm sma kd berbda kasusnya , dulu henri jomblo ,qm jmblo jd g ada mslah ,klau kd mrusak kel orng lain , ksarnya slingkuh jd ada yg d skiti htinya aplgi ank2 msih kcil lukanya susah smbuh , aplgi skrang memusuhi mrka lwat medsos , pkir itu baik2",0,,,
Yuni.niatmu apa...???yindir ashanti..hadeeeeeh untung rafi gk jodoh sm km,0,,,
"Yuni tubuhnya seperti pohon kencur yg ngga bisa tinggi,semoga hatinya tdk seperti pohon kencur",0,,,
"yuni shara sok bijak,membela KD,kmu bukan apa""klo dbndingkan sma ashanti,klo sttus kmu hanya menyindir ashanti,seharusnya kmu berterima ksih sma ashnti yg sudah mnjga dan merwat kdua ponkan kmu yg sdah dtingalkan sma adik kmu,sharusnya kmu menasehati adik kmu itu,bkan berkomntar sok bijak seperti itu",0,,,
Yuni shara sok bijak … beda dong masalahnya … aurel sama jiel itu masih teringat waktu mimi nya ada maen sama thermos,0,,,
"yuni shara g usah bela adik mu KD yg Salah sama Auriel dan Azriel, ibunda Ashanti menyayangi mereka seperti anknya sendiri dulu kd selingkuh dg termos kamu bela",0,,,
Yuni Sarah itu kn mantan lo baik kalau ade lo si KD suami nya biang kerok jd di mana mau bs baik nasehatin th sitermos jg bp sambung harus baik biar anak sambung sopan ok,0,,,
"Yuni n KD sama saja,jadi ngak heran klau dia bela adiknya?￰ﾟﾘﾄmaklum Yuni wiss tua lali klau adiknya berselingkuh di depan anak2nya,lagian dulu dia juga sama seperti adiknya saat bersama Rafly?￰ﾟﾘﾄ",0,,,
"Yuni ma Raul sama je, sama2 suka manas2in keadaan. Udah tua bukan nya semakin bijak, malah ngalor ngidul.",0,,,
Yuni jgn sok pinter.. Urus rmh tangga sdri aja lah.. Perasaan anak aurel ziel yg terluka krn ibu nya direbut lemos dan ibunya malah mbelain lemos... Itu ga bs dibayangkan sakit nya,0,,,
"Yuni ini diem2 ternyata hati nya busuk yah. AstagfirAllah Halazimm. bukan nya berterima kasih sama Bunda Asyanti yg telah membesarkan dan mendidik keponakan nya dengan baik, soal anak hormat atw tidak dengan ibu kandung nya itu tergantung ibu kandung nya sendiri bagaimana.",0,,,
Yuni bisa km menerima pasangan km berselingkuh dan berjinah.. Apa km masih bisa berdamai.. Buka dulu topeng'mu..,0,,,
Yun.....jgn membela sepihak ...yg salah jg siapa yg benar jg siapa....jd jgn mempekeruh keadaan situasi jd buminng....aku salut dan bangga kpd bunda Ashanti hatinya bagaikan malaikat...hingga bisa menjadikan Aurel dan azril seperti skrg ...sukses luar biasa ....tp Mimi KD pun sampai kapan pun tetap ibu kandung Aurel dan azril yg menyayangi anak2 nya,0,,,
"YS keliatan OON nya ?￰ﾟﾤﾮ?￰ﾟﾤﾮ Ya iyalah wong junet gk tggl 1 rmh sm anak* tirinya sperti ashanty, untung* keponakan dpt ibu tiri yg baik hati & tulus menyayangi & mencintai auriel ma azriel. Kelihatan keluarga KD ma YS keluarga yg OON, prilaku yg salah sll d bela* bikin muak d perut aja ?￰ﾟﾤﾮ?￰ﾟﾤﾮ?",0,,,
"YS keliatan OON nya ?￰ﾟﾤﾮ?￰ﾟﾤﾮ Ya iyalah wong junet gk tggl 1 rmh sm anak* tirinya sperti ashanty, untung* keponakan dpt ibu tiri yg baik hati & tulus menyayangi & mencintai auriel ma azriel. Kelihatan keluarga KD ma YS keluarga yg OON, prilaku yg salah sll d bela* bikin muak d perut aja ?￰ﾟﾤﾮ?￰ﾟﾤﾮ?",0,,,
"Yg terdeteksi hari ini ,,mungkin dri 2 Minggu lalu sudah terpapar",0,,,
Yg pilot.. Itu suaminya???? Yg bodoh.. Dia.. Mana tauui.. Yg sebenarnya!!! Tanda tangan juga g akan laporr.. Dia. Si kumiss,0,,,
"Yg perempuan rata"" gk bener!!",0,,,
"Yg ngatain itu kan karena udah ngga laku, mau tenar lagi tapi bikin ulah.. punya prestasi apaan selama ini?? Ngga ada yg nampak kalee prestasi nya. Kalau memang artis attitude nya ngga seperti ini lah.. ngatain begitu apa udah ngerasa diri nya paling ganteng?????sampe hina masa lalu orang. Lihat video ini pengen ngakak statemen nya si cewe nya bilang netizen jangan ikut camput masalah ini. Kaga punya iman sih!!!makanya otak dan mulutnya se enak jidatnya!!!",0,,,
"yg menghujat pak ahok semuanya kena korupsi,,,",0,,,
"Yg buat barah api ya adikmu sendiri Yun coba jd manusia yg legowo wes selingku dan salah sama ank""nya bukan melebur dosanya sama anknya Mala anknya suruh nembah ibuknya sama BPK tirinya yg angkuhnya Nauzubillah suruh klrga Asix trs yg menyembah klrga KD Lemos emang siapa dia udah pelakor pembinor kok yg ngerasa salah jabangbayik amit""",0,,,
"Yg bikin rusak ekonomi bangsa adalah koruptor penguasa dan pengusaha. Coba berikan hukuman berat misal hukum mati, paling ringan potong tangan.",0,,,
Yess jgn ksh ampuun!klrga bulsit,0,,,
Ye KK dan adik sama sj LG stresss semua jg org tahu dasar TUA BANGKA....,0,,,
Ye KK dan adik sama sj LG stresss semua jg org tahu dasar TUA BANGKA....,0,,,
Ye Allah kejamya menakutkan ahhhh,0,,,
"Yanggg ampunnnn kekey berulah lagi bos""icicikkkcicikkkk""...",0,,,
"Yang suka bilang kadrun itu, adalah BABIRUN, yg otak hanya seupil doang, yang hidup nya suka mengadu domba sesama anak bangsa.REPLY",0,,,
YANG NGE TAKE DOWN MV KEKEYI ADALAH MANUSIA BANGSAD.,0,,,
YANG MENGKRITIK MEGAWATI ASLI CEBONG dibalik PINOKIO JONGOS PARTE.,0,,,
Yang kyak begini dibilang gubernur rasa presiden?? ?,0,,,
"Yang jelas manusianya kurang bersyukur , da dpet istri cantik belagu , byk byk tobat",0,,,
"yang ingin melengserkan PAK JOKOWI dan menjegal PAK AHOK, adalah orang yang TELAH MELAKUKAN KORUPSI dan yang tidak dapat PELUANG untuk MELAKUKAN KORUPSI !!!",0,,,
Yang dapet tips bukan ojol doang kali Semua kerjaan bisa dapet tips Selagi itu halal Lah kenapa masalah tips ke ojol doang?,0,,,
Yang atas bilang gini yang bawah2nya bilang gtu. Woy... Pemerintah yang kompak dan jelas buat peraturan kek. Gw juga linglung dngerin katanya ini itu. Media juga plis deh klo belom pasti jangan di sebar2 beritanya. Bikin bingung. Muak!,0,,,
"Yahhh ikut""an gaya sultan brunei dasar tukang copy gaya orang pemerintah skrang kurang baik",0,,,
"yaelah, manusia mau terkenal tpi dg sensasi yg gk mutu, ce nya dah tua, gk tambah ngaca, malah keq bangga bgt di bodohi onces",0,,,
Yaelah otaknya ga ada isinya jgn di tny program. Tny gmn cara ngambil suami org pst dia cpt jwbnya!!!,0,,,
"Yach udah lah Angel...itu jg karma buat masa lalu kamu yg dulu suka mengganggu SUAMI ORG , lbh baik introspection diri dg masa lalu km, tdk usah menyesali perkawinan yg sudah terjadi , inget putri mu yg inget akan masa lalu km",0,,,
ya walaupun sandiwara tapi serem ..karep2mu ga aku lanjut lihatnya maaf,0,,,
"Ya nama juga presiden boleh koripsi suara rakyat,wajar suka jilat ludah y sndiri mah",0,,,
Ya korban2 itu datang muncul menuntut karena emang diundang oleh angel ntuk mengeroyok vicky.. bew munafik ye dikau wanita munafik,0,,,
Ya Allohh buka aib kwww ngeri,0,,,
"Ya Allah, Allah nutupin aib kita, di acara ini malah menampilkan semuanya.. sedih si miris ?￰ﾟﾘﾐ minta aja pertolongan sama Allah...",0,,,
"Ya Allah turunkanlah adzab-Mu untuk manusia yang membuat pelecehan terhadap imam besar kami HRS, agar mereka yang berdiri di belakang Budi Jarot vs, menyaksikan dengan mata kepalanya sendiri.",0,,,
Ya Allah menggaoa negara ni kacau Pancasila akan di rubah ? menjadi ekasilah presiden jokowi dodo paling kacau di mata rakyat?￰ﾟﾘﾃ?,0,,,
Ya allah kalian ini sadar g si klo kalian sdh membuka aib sndri d mata dunia ya allah. Klo aib sndri z g bs menutupi so gmna pasangan mo kelak Miris bgt?￰ﾟﾙﾂ,0,,,
"Ya Allah ini laki makin hari kok mukanya aja yg putih.,,?￰ﾟﾤﾭmaaf kalo salah.,, .,pdhl awal keluar di tv gk gitu lhooo?￰ﾟﾤﾔ",0,,,
Ya allah engga pantes banget.kaku,0,,,
Ya Allah buseett deh msa bju gempi di pke ...bu... bu hmmmm ..?￰ﾟﾙﾈ?￰ﾟﾙﾈ,0,,,
Wuihh mick up ny buuu... Smpe kaya tomat busuk pipi nya... ?￰ﾟﾘﾂ Kaya topeng..,0,,,
"Woyyyy jangan di politisir lah, seolah2 melarang orang beribadah, atau parahnya lagi kalau menuduh negara memusuhi islam. Ini kontek nya dalam rangka menghadapi dan menekan penyebaran wabah covid19.",0,,,
Woy kalo bikin vedio yng bner masak sekilas saja ...ga seru tiwas pketan hhabissssss huuuuuuu,0,,,
Wow jangan disensor mulu anjay wkwkwkwkwkwk,0,,,
Woooowww bkn waktunya pencitraan rakyat sdh tau pemimpin mn yg kerjanya ikhlaas.,0,,,
"Woi kalau tayang yang bener mana ada boleh buka aib sendiri,itu urusan pribadi dia ngapain kamu bongkar ... Lebih baik ini ANTV garis tangan dibubarin...REPLY",0,,,
Wkwkwk nge prank gak masuk akal.....acar tv ribut yg turun tangan malah astrid istri kuyang.emang astrid jadi apa di situ....mana produser mana kreatifnya security diam bae malah si astrid yg ngamuk2.gak masuk akal prank nya.wkwkwkkk.....di situ ada keluarga kuyang di situ ada setingan....hahahhha,0,,,
"Wkwkwk liat pk boss iklan kyak kanebo, kering bener",0,,,
Wkwk Saya Lucu Liat Video Lucinta Luna Nangis Mau Di Masukeun Sel Laki Laki Cek Video Nya Di Ig @Rizall026,0,,,
"wktu ngomong ""ela tekewer kewer"" ekspresinya udah kek nahan ketawa gitu ibunya?￰ﾟﾤﾣ? terus sebelum ngomong ""ela tekewer kewer"" juga udah ada peringatan (kayak bunyi ketukan 2x) bahwa gimmicknya sudah cukup berhasil hahaha",0,,,
"Wes leren pak ra kesel po koe, ra ono hasile ming marake bingung ning rakyat.",0,,,
Weleeehhhh ga aneh lahhh biarin aja dh 5 Kali di pnjara dh biasa kle. Ini ibu sama anak sama2 tukang tipu .kn dh pada tau siapa Vicky g ush heboh ini ibu nya superrr tipu stiap ada cewek kaya raya pasti vicky incar ibu nya jga dukung bossen dngr brita2 itu lagi2,0,,,
weeeeh dah jelas2 rakyat menolak.....masih keukeuh juga.....terus kerja anda untuk siapa...?,0,,,
Waspada! PDIP bernapsu menjadikan indonesia jadi komonisme melalui RUU HIP. Dan waspada kelicikan PKI yg bersarang di PDIP.,0,,,
